motion,frame_count,start_frame,end_frame_exclusive,output_npz,npz_size_bytes,npz_sha256,z_spread_mean_m,z_spread_max_m,left_ankle_mean_z_m,right_ankle_mean_z_m
dance1_subject1,299,0,299,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance1_subject1/motion.npz,693082,1b16b0068fdb18b311b05b2ad93fbd2a439ea48ff792a16dc383fbf9fcf5f434,1.2429167032241821,1.251697301864624,0.05320887640118599,0.05758535489439964
dance1_subject2,299,299,598,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance1_subject2/motion.npz,693082,790a3f00eb10a6fe85250ce319a2220fc72123aacfe02432c9027466915fdf4e,1.2314186096191406,1.2380167245864868,0.04205670580267906,0.036259375512599945
dance1_subject3,299,598,897,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance1_subject3/motion.npz,693082,deda8ec3c957746af843a06694649b1aedca6937a4f593ea8ad8777ca5b2a5fc,1.2393664121627808,1.2423561811447144,0.04571136087179184,0.049134671688079834
dance2_subject1,299,897,1196,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance2_subject1/motion.npz,693082,ea13eab8d16e30d72b8e86699b2b4639fa9222675124699b9e20fe09e38c462d,1.2360650300979614,1.2515273094177246,0.059323277324438095,0.05387702211737633
dance2_subject2,299,1196,1495,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance2_subject2/motion.npz,693082,b6085c4214cf3be4caa5f271ab353d982dae8434bec33c3ffd3ce0a8ec3c9c61,1.2397876977920532,1.2412160634994507,0.041293274611234665,0.03817948326468468
dance2_subject3,299,1495,1794,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance2_subject3/motion.npz,693082,b87047c03afdd0debc996ec0a87ffd8359ce5efd8324abda26264a5c22c5a195,1.2396130561828613,1.2445513010025024,0.044546738266944885,0.046642303466796875
dance2_subject4,299,1794,2093,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance2_subject4/motion.npz,693082,07e02f2c20ddee81ed372677ca0bc7a526b430dd3f553b61642bd37790ef4c5e,1.247223973274231,1.2476190328598022,0.039849232882261276,0.03753317892551422
dance2_subject5,299,2093,2392,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/dance2_subject5/motion.npz,693082,81b7d8c324b68662ea17bfe357c0e38931700d6831bcd1242e85c71b97efa821,1.2456469535827637,1.2484699487686157,0.05521993711590767,0.0448283813893795
fallAndGetUp1_subject1,299,2392,2691,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp1_subject1/motion.npz,693082,4dfe9d851ad574c3e23a13ed9899d2fdfd968f811a8a4f63648a324c146af7d1,1.1533472537994385,1.2503303289413452,0.05487615615129471,0.06134672462940216
fallAndGetUp1_subject4,299,2691,2990,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp1_subject4/motion.npz,693082,2b9b4752ee5bcc672a510c77ce1e18dd0a99ec3cadfcb2c534d7d0f6a23ef2c9,1.22427499294281,1.2472337484359741,0.04300731420516968,0.04221130162477493
