motion	source_npz	source_sha256	start_frame	end_frame_exclusive	frame_count	fps	joint_shape	body_shape
dance1_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject1/dance1_subject1_official_loop_enriched_usd_motion.npz	e36b52497063b50e76c3c0aec4a8c3201f1490e19f2fe58f7d37b4e10bec2b8e	0	299	299	50	[299, 29]	[299, 40, 3]
dance1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject2/dance1_subject2_official_loop_enriched_usd_motion.npz	a3a60992ebbdf7cf79d8c1278fa8484b330723943efef4742349c9f397e4412f	299	598	299	50	[299, 29]	[299, 40, 3]
dance1_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject3/dance1_subject3_official_loop_enriched_usd_motion.npz	41c22c14d5c32dc29c00cf3508b7672fbb5ab1a3c3899a79c67e704a6335e993	598	897	299	50	[299, 29]	[299, 40, 3]
dance2_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject1/dance2_subject1_official_loop_enriched_usd_motion.npz	1653230dac5439e069a50b6ddbbbca80ef79150db5eee777a1b20f13dfbac7cb	897	1196	299	50	[299, 29]	[299, 40, 3]
dance2_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject2/dance2_subject2_official_loop_enriched_usd_motion.npz	82473e7e622ced9102959848242a070a7fb25c5ea304d1e230197b1005097d36	1196	1495	299	50	[299, 29]	[299, 40, 3]
dance2_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject3/dance2_subject3_official_loop_enriched_usd_motion.npz	4b6bf1cb7e8fd722a2367df50e9dc907855cdb748af8d21b5a36baa0adab6ca4	1495	1794	299	50	[299, 29]	[299, 40, 3]
dance2_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject4/dance2_subject4_official_loop_enriched_usd_motion.npz	0ca93bee988cd90b1e23a43ae6be2b80353bf564cc911f8a7a7305c7b49bcfce	1794	2093	299	50	[299, 29]	[299, 40, 3]
dance2_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject5/dance2_subject5_official_loop_enriched_usd_motion.npz	caf8fbeb1852cf8cc721d29c8ccdacaba4c6f82f174ba27e26a92e5b53a71529	2093	2392	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp1_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_enriched_usd_motion.npz	950c6b52077c2ae4dd4a77e4ea870c78d67ff170643fdc4a0952e295b42d9b24	2392	2691	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp1_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_enriched_usd_motion.npz	58d716a3e11b142f54aa231e1f990967e416be7cfb582368e05fbd5b80656be4	2691	2990	299	50	[299, 29]	[299, 40, 3]
