motion	status	latest_blocker	returncode	duration_seconds	joint_frames	joint_dim	body_count	max_joint_abs	max_joint_vel_abs	root_height_min	root_height_max	npz_size_bytes	output_npz	metrics_json	log
dance1_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.448	299	29	40	1.5000430345535278	5.255389213562012	0.7650164365768433	0.7994418144226074	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject1/dance1_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject1/dance1_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance1_subject1_official_csv_loop_enriched_usd.log
dance1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.097	299	29	40	1.7103359699249268	3.3292770385742188	0.7565135955810547	0.7814548015594482	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject2/dance1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject2/dance1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance1_subject2_official_csv_loop_enriched_usd.log
dance1_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.086	299	29	40	1.7805869579315186	3.899714708328247	0.7830780744552612	0.7914680242538452	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject3/dance1_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject3/dance1_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance1_subject3_official_csv_loop_enriched_usd.log
dance2_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.562	299	29	40	1.6080490350723267	7.380318641662598	0.7425609827041626	0.8001620173454285	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject1/dance2_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject1/dance2_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance2_subject1_official_csv_loop_enriched_usd.log
dance2_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.215	299	29	40	1.7724920511245728	6.4116106033325195	0.7838169932365417	0.7858999967575073	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject2/dance2_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject2/dance2_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance2_subject2_official_csv_loop_enriched_usd.log
dance2_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.229	299	29	40	1.77634596824646	2.961660146713257	0.7881821393966675	0.7910630106925964	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject3/dance2_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject3/dance2_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance2_subject3_official_csv_loop_enriched_usd.log
dance2_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.688	299	29	40	1.7755705118179321	3.350520133972168	0.7889844179153442	0.7895799875259399	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject4/dance2_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject4/dance2_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance2_subject4_official_csv_loop_enriched_usd.log
dance2_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.227	299	29	40	1.6407300233840942	4.292569160461426	0.7830110192298889	0.7955620288848877	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject5/dance2_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject5/dance2_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/dance2_subject5_official_csv_loop_enriched_usd.log
fallAndGetUp1_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.291	299	29	40	2.444481134414673	11.793120384216309	0.19216659665107727	0.7953599691390991	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp1_subject1_official_csv_loop_enriched_usd.log
fallAndGetUp1_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.002	299	29	40	2.052823543548584	6.523548126220703	0.5320215225219727	0.7866388559341431	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp1_subject4_official_csv_loop_enriched_usd.log
