motion,status,latest_blocker,returncode,duration_seconds,official_loop_body_completed,shutdown_warning,official_loop_call_299,fake_wandb_download,g1_cfg_patched_to_enriched_usd,motion_npz,log,wrapper_stdout_log
dance1_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.919,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject1/dance1_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance1_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance1_subject1_wrapper_stdout.log
dance1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.174,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject2/dance1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance1_subject2_wrapper_stdout.log
dance1_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.176,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance1_subject3/dance1_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance1_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance1_subject3_wrapper_stdout.log
dance2_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.748,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject1/dance2_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance2_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance2_subject1_wrapper_stdout.log
dance2_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.47,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject2/dance2_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance2_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance2_subject2_wrapper_stdout.log
dance2_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.004,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject3/dance2_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance2_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance2_subject3_wrapper_stdout.log
dance2_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.367,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject4/dance2_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance2_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance2_subject4_wrapper_stdout.log
dance2_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.522,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/dance2_subject5/dance2_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/dance2_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/dance2_subject5_wrapper_stdout.log
fallAndGetUp1_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.202,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp1_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp1_subject1_wrapper_stdout.log
fallAndGetUp1_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.984,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp1_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp1_subject4_wrapper_stdout.log
