motion	status	latest_blocker	returncode	duration_seconds	official_loop_body_completed	shutdown_warning	official_loop_call_299	fake_wandb_download	g1_cfg_patched_to_robot_usd	uses_official_importer_export_usd	motion_npz	log	wrapper_stdout_log	motion_audit
dance1_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.684	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject1/dance1_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject1/dance1_subject1_official_replay_loop_official_importer_export_audit.json
dance1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.085	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject2/dance1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject2/dance1_subject2_official_replay_loop_official_importer_export_audit.json
dance1_subject3	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.261	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject3/dance1_subject3_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject3_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance1_subject3_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance1_subject3/dance1_subject3_official_replay_loop_official_importer_export_audit.json
dance2_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.975	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject1/dance2_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject1/dance2_subject1_official_replay_loop_official_importer_export_audit.json
dance2_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.001	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject2/dance2_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject2/dance2_subject2_official_replay_loop_official_importer_export_audit.json
dance2_subject3	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.891	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject3/dance2_subject3_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject3_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject3_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject3/dance2_subject3_official_replay_loop_official_importer_export_audit.json
dance2_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.96	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject4/dance2_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject4/dance2_subject4_official_replay_loop_official_importer_export_audit.json
dance2_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.07	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject5/dance2_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/dance2_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/dance2_subject5/dance2_subject5_official_replay_loop_official_importer_export_audit.json
fallAndGetUp1_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.916	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject1/fallAndGetUp1_subject1_official_replay_loop_official_importer_export_audit.json
fallAndGetUp1_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.886	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject4/fallAndGetUp1_subject4_official_replay_loop_official_importer_export_audit.json
