field_type	name	exporter_provides	consumer_uses	required_for_motion_contract
input	obs	True	True	True
input	time_step	True	True	True
output	actions	True	True	True
output	joint_pos	True	True	True
output	joint_vel	True	True	True
output	body_pos_w	True	True	True
output	body_quat_w	True	True	True
output	body_lin_vel_w	True	False	True
output	body_ang_vel_w	True	False	True
metadata	run_path	True	True	True
metadata	joint_names	True	True	True
metadata	joint_stiffness	True	True	True
metadata	joint_damping	True	True	True
metadata	default_joint_pos	True	True	True
metadata	command_names	True	True	True
metadata	observation_names	True	True	True
metadata	observation_history_lengths	True	True	True
metadata	action_scale	True	True	True
metadata	anchor_body_name	True	True	True
metadata	body_names	True	True	True
