term	function	mode	target	range_name	range_min	range_max	extra
physics_material	randomize_rigid_body_material	startup	robot body_names=.*	static_friction	0.3	1.6	num_buckets=64
physics_material	randomize_rigid_body_material	startup	robot body_names=.*	dynamic_friction	0.3	1.2	num_buckets=64
physics_material	randomize_rigid_body_material	startup	robot body_names=.*	restitution	0.0	0.5	num_buckets=64
add_joint_default_pos	randomize_joint_default_pos	startup	robot joint_names=.*	joint_default_position_add	-0.01	0.01	operation=add distribution=uniform
base_com	randomize_rigid_body_com	startup	robot body_names=torso_link	com_x	-0.025	0.025	additive torso COM offset
base_com	randomize_rigid_body_com	startup	robot body_names=torso_link	com_y	-0.05	0.05	additive torso COM offset
base_com	randomize_rigid_body_com	startup	robot body_names=torso_link	com_z	-0.05	0.05	additive torso COM offset
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_x	-0.5	0.5	interval_range_s=(1.0,3.0)
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_y	-0.5	0.5	interval_range_s=(1.0,3.0)
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_z	-0.2	0.2	interval_range_s=(1.0,3.0)
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_roll	-0.52	0.52	interval_range_s=(1.0,3.0)
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_pitch	-0.52	0.52	interval_range_s=(1.0,3.0)
push_robot	push_by_setting_velocity	interval	robot root velocity	velocity_yaw	-0.78	0.78	interval_range_s=(1.0,3.0)
