variant	action_mode	time_steps_changed	time_steps_delta_mean	robot_state_rewritten	pre_endpoint_done_rate	pre_endpoint_z_mean	pre_body_error_mean	pre_joint_pos_error_mean	pre_joint_vel_error_mean	policy_action_abs_mean	step_done_rate	step_done_count	step_reward_mean	step_action_abs_mean	term_anchor_pos	term_anchor_ori	term_ee_body_pos	post_endpoint_done_rate	post_body_error_mean	post_joint_pos_error_mean	post_joint_vel_error_mean
official_stale	zero	False	0.0	False	1.0	0.5339092016220093	15.331366539001465	0.8732702732086182	0.0	0.14043381810188293	1.0	256	0.02319551631808281	0.0	0	0	256	0.2734375	0.15271629393100739	0.8899405598640442	0.7434691190719604
official_stale	policy	False	0.0	False	0.54296875	0.14160612225532532	0.43786293268203735	0.850001335144043	0.0	0.14520171284675598	0.53125	136	0.027484934777021408	0.14520171284675598	0	0	136	0.19140625	0.14436224102973938	0.9217337965965271	9.643479347229004
refresh_t	zero	False	0.0	False	0.3046875	0.10492183268070221	0.15193606913089752	0.8665139675140381	0.0	0.14235460758209229	0.30859375	79	0.03400994464755058	0.0	0	0	79	0.09765625	0.14627793431282043	0.9803845882415771	16.148212432861328
refresh_t	policy	False	0.0	False	0.3828125	0.11113949120044708	0.15222454071044922	0.8392846584320068	0.0	0.13932831585407257	0.38671875	99	0.033730506896972656	0.13932833075523376	0	0	99	0.16015625	0.14631174504756927	0.9310069680213928	11.769760131835938
compute_dt0	zero	True	1.0	False	0.43359375	0.11819906532764435	0.1585523933172226	0.8821558952331543	0.8418066501617432	0.13495025038719177	0.44921875	115	0.034428857266902924	0.0	1	0	115	0.18359375	0.1501931995153427	0.9173294901847839	11.470818519592285
compute_dt0	policy	True	1.0	False	0.4921875	0.12190458923578262	0.16124656796455383	0.8907925486564636	0.6576122045516968	0.1311406046152115	0.49609375	127	0.031612578779459	0.1311406046152115	0	0	127	0.25	0.15390613675117493	0.9337060451507568	11.086766242980957
update_command_t_plus_1	zero	True	1.0	False	0.51171875	0.11968229711055756	0.16053438186645508	0.8633156418800354	0.603322446346283	0.13251248002052307	0.515625	132	0.033887822180986404	0.0	0	0	132	0.265625	0.15339957177639008	0.911592960357666	11.224808692932129
update_command_t_plus_1	policy	True	1.0	False	0.5390625	0.12636154890060425	0.16328443586826324	0.8526621460914612	0.7154837250709534	0.13208425045013428	0.5390625	138	0.03189649432897568	0.13208425045013428	0	0	138	0.28515625	0.1541636437177658	0.917973518371582	10.390115737915039
phase_minus_1_then_step_target_t	zero	True	-1.0	False	0.5703125	0.12840092182159424	0.162281796336174	0.8328374028205872	0.7664400339126587	0.1328258216381073	0.5625	144	0.03322272747755051	0.0	0	0	144	0.3203125	0.15526406466960907	0.9084475040435791	9.818146705627441
phase_minus_1_then_step_target_t	policy	True	-1.0	False	0.60546875	0.13108506798744202	0.16309936344623566	0.8209670782089233	0.824042022228241	0.13145099580287933	0.6015625	154	0.03178621456027031	0.13145099580287933	0	0	154	0.38671875	0.15591561794281006	0.8890045881271362	8.599140167236328
phase_plus_1_target_only	zero	True	1.0	False	0.65234375	0.13795068860054016	0.1664760261774063	0.8187779188156128	0.9600237607955933	0.12951743602752686	0.65625	168	0.03360184282064438	0.0	0	0	168	0.41796875	0.15896597504615784	0.8560752868652344	7.1834306716918945
phase_plus_1_target_only	policy	True	1.0	False	0.66796875	0.1424311101436615	0.16872332990169525	0.8255288600921631	0.9686083197593689	0.1296229213476181	0.66015625	169	0.03104715421795845	0.1296229362487793	0	0	169	0.44921875	0.16144219040870667	0.8586658239364624	6.945001602172852
phase_plus_1_rewrite_state	zero	True	1.0	True	0.6796875	0.13592994213104248	0.15957491099834442	0.0	0.0	0.14997607469558716	0.6875	176	-0.015265117399394512	0.0	0	0	176	0.47265625	0.15684914588928223	0.8315851092338562	10.816197395324707
phase_plus_1_rewrite_state	policy	True	1.0	True	0.71875	0.1387266218662262	0.1599857062101364	0.0	0.0	0.14845040440559387	0.71484375	183	-0.01600092649459839	0.14845041930675507	0	0	183	0.51171875	0.16026751697063446	0.8310155272483826	9.412028312683105
phase_minus_1_rewrite_state	zero	True	-1.0	True	0.71875	0.13737884163856506	0.15943586826324463	0.0	0.0	0.1489289402961731	0.71875	184	-0.013013457879424095	0.0	0	0	184	0.49609375	0.15999066829681396	0.8312291502952576	8.448851585388184
phase_minus_1_rewrite_state	policy	True	-1.0	True	0.72265625	0.1379247009754181	0.15951167047023773	0.0	0.0	0.14785470068454742	0.72265625	185	-0.0137783819809556	0.14785470068454742	0	0	185	0.515625	0.16024701297283173	0.8194668889045715	8.142926216125488
