variant	action_mode	time_steps_unchanged_by_variant	pre_step_done_rate	pre_step_endpoint_z_mean	pre_step_body_error_mean	pre_step_joint_pos_error_mean	pre_step_joint_vel_error_mean	pre_step_offset_to_robot_error_mean	pre_step_processed_to_robot_error_mean	policy_action_abs_mean	step_done_rate	step_done_count	step_reward_mean	step_action_abs_mean	post_step_endpoint_z_done_rate	post_step_body_error_mean	post_step_joint_vel_error_mean
baseline	zero	True	1.0	0.5306801199913025	15.281805038452148	0.8686307072639465	0.0	2.7064785957336426	2.4186322689056396	0.1485738456249237	1.0	256	0.023210622370243073	0.0	0.33984375	0.15536834299564362	0.72265625
baseline	policy	True	0.546875	0.13784083724021912	0.5228188037872314	0.8648790121078491	0.0	2.6713693141937256	2.6713693141937256	0.15179121494293213	0.55078125	141	0.027606602758169174	0.15179121494293213	0.17578125	0.14305512607097626	9.915872573852539
target_refresh	zero	True	0.23046875	0.10297940671443939	0.1473606526851654	0.8508708477020264	0.0	2.679692268371582	2.7067959308624268	0.15411660075187683	0.23828125	61	0.03604651987552643	0.0	0.03125	0.13952402770519257	15.542119026184082
target_refresh	policy	True	0.28125	0.11115388572216034	0.15145054459571838	0.8380635976791382	0.0	2.7248573303222656	2.7248573303222656	0.14669468998908997	0.28125	72	0.03197567164897919	0.14669470489025116	0.0859375	0.14056813716888428	14.182840347290039
target_refresh_action_reset	zero	True	0.3671875	0.11515182256698608	0.15269611775875092	0.8430447578430176	0.0	2.7236814498901367	2.7236814498901367	0.14495119452476501	0.36328125	93	0.034391630440950394	0.0	0.16015625	0.14327190816402435	12.28835391998291
target_refresh_action_reset	policy	True	0.48046875	0.12981437146663666	0.1636754721403122	0.8308759331703186	0.0	2.7884442806243896	2.7884442806243896	0.13491879403591156	0.4765625	122	0.02981831505894661	0.13491879403591156	0.23828125	0.15042419731616974	10.899185180664062
target_refresh_action_offset	zero	True	0.46875	0.12967659533023834	0.16177822649478912	0.8356070518493652	0.0	0.0	0.0	0.13215257227420807	0.46875	120	0.03083163872361183	0.0	0.23046875	0.1521655172109604	11.125198364257812
target_refresh_action_offset	policy	True	0.4921875	0.13771183788776398	0.16717492043972015	0.8354979753494263	0.0	0.0	0.0	0.1302420198917389	0.49609375	127	0.02844564989209175	0.1302420198917389	0.26171875	0.15459029376506805	10.263128280639648
target_refresh_rewrite_motion_state	zero	True	0.5234375	0.13887357711791992	0.16191469132900238	0.0	0.0	3.0411739349365234	1.6479828357696533	0.15801218152046204	0.53125	136	-0.014513261616230011	0.0	0.2890625	0.15347029268741608	15.087342262268066
target_refresh_rewrite_motion_state	policy	True	0.55078125	0.14365896582603455	0.16651389002799988	0.0	0.0	3.0701146125793457	3.0701146125793457	0.15233783423900604	0.5546875	142	-0.019982915371656418	0.15233783423900604	0.30859375	0.15604378283023834	15.3351411819458
target_refresh_rewrite_motion_state_action_reset	zero	True	0.6015625	0.15033522248268127	0.1688099205493927	0.0	0.0	3.085780382156372	3.085780382156372	0.15302743017673492	0.60546875	155	-0.01820775866508484	0.0	0.3671875	0.1584484875202179	13.280113220214844
target_refresh_rewrite_motion_state_action_reset	policy	True	0.66015625	0.15812334418296814	0.17185541987419128	0.0	0.0	3.121330976486206	3.121330976486206	0.15074209868907928	0.6640625	170	-0.022679995745420456	0.1507420837879181	0.4375	0.16393794119358063	11.64767837524414
target_refresh_rewrite_motion_state_action_offset	zero	True	0.6875	0.15843988955020905	0.1702224165201187	0.0	0.0	0.0	0.0	0.14749538898468018	0.69140625	177	-0.021645233035087585	0.0	0.4765625	0.1681351661682129	10.173755645751953
target_refresh_rewrite_motion_state_action_offset	policy	True	0.72265625	0.1636153608560562	0.17640076577663422	0.0	0.0	0.0	0.0	0.1444307416677475	0.73828125	189	-0.02317638322710991	0.1444307118654251	0.50390625	0.1715453714132309	8.305423736572266
