label	group	present_names	rel_z_error_mean	rel_z_error_max	raw_z_error_mean	raw_z_error_max	rel_xyz_error_mean	raw_xyz_error_mean	target_relative_z_mean	target_raw_z_mean	robot_z_mean	rel_z_done_count	rel_z_done_rate	step_done_rate	reward_mean	joint_vel_error_mean
zero_branch_after_reset_before_target_refresh	ankles	left_ankle_roll_link,right_ankle_roll_link	0.10488246381282806	0.7843928933143616	0.06544189155101776	0.7387728691101074	15.27651309967041	0.23897196352481842	0.0	0.052611786872148514	0.10336752235889435	43	0.16796875			0.0
zero_branch_after_reset_before_target_refresh	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.9518524408340454	1.1886333227157593	0.12762290239334106	0.3902810215950012	15.318048477172852	0.3554212152957916	0.0	0.9263699054718018	0.9518524408340454	256	1.0			0.0
zero_branch_after_reset_before_target_refresh	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.5283674597740173	1.1886333227157593	0.09653239697217941	0.7387728691101074	15.297281265258789	0.2971965968608856	0.0	0.4894908368587494	0.5276099443435669	256	1.0			0.0
zero_branch_after_target_refresh_no_advance	ankles	left_ankle_roll_link,right_ankle_roll_link	0.06544189155101776	0.7387728691101074	0.06544189155101776	0.7387728691101074	0.24655303359031677	0.23897196352481842	0.052611783146858215	0.052611786872148514	0.10336752235889435	25	0.09765625			0.0
zero_branch_after_target_refresh_no_advance	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.12762290239334106	0.3902810215950012	0.12762290239334106	0.3902810215950012	0.34227168560028076	0.3554212152957916	0.9263699054718018	0.9263699054718018	0.9518524408340454	39	0.15234375			0.0
zero_branch_after_target_refresh_no_advance	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.09653239697217941	0.7387728691101074	0.09653239697217941	0.7387728691101074	0.2944123446941376	0.2971965968608856	0.4894908368587494	0.4894908368587494	0.5276099443435669	57	0.22265625			0.0
zero_branch_after_one_zero_action_step	ankles	left_ankle_roll_link,right_ankle_roll_link	0.04942924529314041	0.4917140007019043	0.04942924529314041	0.4917140007019043	0.22789010405540466	0.2197858691215515	0.05029856786131859	0.05029856786131859	0.08992604166269302	8	0.03125	0.23046875	0.0342758372426033	19.08424949645996
zero_branch_after_one_zero_action_step	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.11983097344636917	0.2887447476387024	0.11983097344636917	0.2887447476387024	0.33541813492774963	0.3494338095188141	0.9431684017181396	0.9431684017181396	0.9597175121307373	9	0.03515625	0.23046875	0.0342758372426033	19.08424949645996
zero_branch_after_one_zero_action_step	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.0846301019191742	0.4917140007019043	0.0846301019191742	0.4917140007019043	0.28165408968925476	0.2846098244190216	0.49673348665237427	0.49673348665237427	0.5248216986656189	16	0.0625	0.23046875	0.0342758372426033	19.08424949645996
policy_branch_after_reset_before_target_refresh	ankles	left_ankle_roll_link,right_ankle_roll_link	0.0863366574048996	0.8546786904335022	0.0795983225107193	0.7429066300392151	0.4689570665359497	0.26133793592453003	0.05029856786131859	0.055326998233795166	0.1117391288280487	45	0.17578125			0.0
policy_branch_after_reset_before_target_refresh	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.17959390580654144	0.7379451394081116	0.1333570033311844	0.4283693730831146	0.5650880932807922	0.35222187638282776	0.9431684017181396	0.9001705646514893	0.9337573051452637	91	0.35546875			0.0
policy_branch_after_reset_before_target_refresh	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.1329652965068817	0.8546786904335022	0.10647766292095184	0.7429066300392151	0.5170226097106934	0.3067798912525177	0.49673348665237427	0.4777487814426422	0.5227482318878174	116	0.453125			0.0
policy_branch_after_target_refresh_no_advance	ankles	left_ankle_roll_link,right_ankle_roll_link	0.0795983225107193	0.7429066300392151	0.0795983225107193	0.7429066300392151	0.2695120871067047	0.26133793592453003	0.055326998233795166	0.055326998233795166	0.1117391288280487	37	0.14453125			0.0
policy_branch_after_target_refresh_no_advance	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.1333570033311844	0.4283693730831146	0.1333570033311844	0.4283693730831146	0.3377799689769745	0.35222187638282776	0.9001705646514893	0.9001705646514893	0.9337573051452637	49	0.19140625			0.0
policy_branch_after_target_refresh_no_advance	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.10647766292095184	0.7429066300392151	0.10647766292095184	0.7429066300392151	0.3036459982395172	0.3067798912525177	0.4777488112449646	0.4777487814426422	0.5227482318878174	74	0.2890625			0.0
policy_branch_after_one_policy_step	ankles	left_ankle_roll_link,right_ankle_roll_link	0.0617649219930172	0.6918848752975464	0.0617649219930172	0.6918848752975464	0.24814258515834808	0.23919673264026642	0.05248325690627098	0.05248325318098068	0.10256412625312805	17	0.06640625	0.30078125	0.032064780592918396	14.921777725219727
policy_branch_after_one_policy_step	wrists	left_wrist_yaw_link,right_wrist_yaw_link	0.1263536810874939	0.4036562442779541	0.1263536810874939	0.4036562442779541	0.33975648880004883	0.3540765047073364	0.9254447221755981	0.9254447221755981	0.9504228830337524	24	0.09375	0.30078125	0.032064780592918396	14.921777725219727
policy_branch_after_one_policy_step	all_endpoints	left_ankle_roll_link,right_ankle_roll_link,left_wrist_yaw_link,right_wrist_yaw_link	0.0940592885017395	0.6918848752975464	0.0940592885017395	0.6918848752975464	0.29394954442977905	0.2966366112232208	0.4889640212059021	0.4889640212059021	0.526493489742279	31	0.12109375	0.30078125	0.032064780592918396	14.921777725219727
