phase_bin,body_name,sample_count,pre_z_mean,post_z_mean,pre_exceed_rate,post_exceed_rate
0,left_ankle_roll_link,49065,0.033654803227305616,0.06881476077169991,0.005115662896158157,0.08105574238255375
0,right_ankle_roll_link,49065,0.017394998985474888,0.02819957635942936,0.0012432487516559666,0.019239783960052992
0,left_wrist_yaw_link,49065,0.2181198809205921,0.19151638113983446,0.1752369306022623,0.06811372668908591
0,right_wrist_yaw_link,49065,0.059809408499586415,0.06662458330119506,0.025517171099561805,0.02647508407214919
1,left_ankle_roll_link,56389,0.03078179959607527,0.06222738321338023,0.0,0.0658107077621522
1,right_ankle_roll_link,56389,0.015181874539178911,0.025324897125474866,0.0,0.015570412669137598
1,left_wrist_yaw_link,56389,0.2011267453647188,0.18751889146352682,0.10732589689478444,0.05440777456596144
1,right_wrist_yaw_link,56389,0.0474863990108869,0.06236593508105103,0.0,0.021564489528099452
2,left_ankle_roll_link,56383,0.029126463250247314,0.05766353007926835,0.0,0.05955695865775145
2,right_ankle_roll_link,56383,0.016197293945903083,0.024881691301331273,0.0,0.014206409733430288
2,left_wrist_yaw_link,56383,0.1965307484957223,0.18704371923482352,0.07926147952396999,0.04916375503254527
2,right_wrist_yaw_link,56383,0.04634572563467724,0.059923073466865026,0.0,0.01901282301402905
3,left_ankle_roll_link,62321,0.03092642012110893,0.05346591533733381,0.000272781245487075,0.04651722533335473
3,right_ankle_roll_link,62321,0.015515075320453353,0.02208477935852886,0.0,0.011232168931820734
3,left_wrist_yaw_link,62321,0.17391005517796745,0.16944666407205325,0.04151088718088606,0.03753149018789814
3,right_wrist_yaw_link,62321,0.05661661079829274,0.06725304874255544,0.002310617608831694,0.017794964779127422
4,left_ankle_roll_link,73005,0.053092590238931904,0.06513070184692794,0.012752551195123621,0.03886035203068283
4,right_ankle_roll_link,73005,0.022475838042659412,0.027168321039923886,0.0,0.00867063899732895
4,left_wrist_yaw_link,73005,0.13871050851368413,0.13933199222108597,0.025600986233819602,0.031121156085199643
4,right_wrist_yaw_link,73005,0.08049107632092618,0.0837546501706442,0.004287377576878296,0.014190808848708993
5,left_ankle_roll_link,63218,0.07870791292239886,0.07554133070674124,0.05378215065329495,0.04511373343035212
5,right_ankle_roll_link,63218,0.03556118409219974,0.03419607388826011,0.008794963459774116,0.010946249485905913
5,left_wrist_yaw_link,63218,0.1284581418298997,0.13194564378036416,0.022999778544085546,0.04024170331234775
5,right_wrist_yaw_link,63218,0.09564300624465659,0.09021794528434736,0.02084849251795375,0.016055553797968934
6,left_ankle_roll_link,65591,0.09240281534934132,0.07993062460266759,0.07609275662819594,0.049259806985714506
6,right_ankle_roll_link,65591,0.04061258652566354,0.03753131921349651,0.018142732996905064,0.011114329709868732
6,left_wrist_yaw_link,65591,0.11726710938018442,0.12149590357607158,0.021252915796374502,0.03857236511106707
6,right_wrist_yaw_link,65591,0.10483522458080548,0.09878395090596082,0.018462898873321035,0.01631321370309951
7,left_ankle_roll_link,71647,0.11477600380535288,0.08805221365300031,0.10945329183357293,0.05419626781302776
7,right_ankle_roll_link,71647,0.0472446453116498,0.039609477559270245,0.022834173098664284,0.012589501305009281
7,left_wrist_yaw_link,71647,0.10822799969832926,0.11789087727334173,0.018298044579675352,0.04501235222689017
7,right_wrist_yaw_link,71647,0.10863060321768195,0.10100143253557836,0.025095258698898767,0.018060770164835933
8,left_ankle_roll_link,60475,0.12573931416258702,0.0864910774440522,0.13761058288548988,0.05924762298470442
8,right_ankle_roll_link,60475,0.05392993266869424,0.04143303894984939,0.0366597767672592,0.015576684580405125
8,left_wrist_yaw_link,60475,0.10998520914509849,0.11961938179342546,0.015113683340223233,0.04914427449359239
8,right_wrist_yaw_link,60475,0.11963939334745986,0.10422054369681726,0.048052914427449356,0.02068623398098388
9,left_ankle_roll_link,54258,0.13324087967419093,0.09347571792208223,0.15238305871945151,0.06507796085369899
9,right_ankle_roll_link,54258,0.06176198996153636,0.04754110997542533,0.0443436912529028,0.015168270116849129
9,left_wrist_yaw_link,54258,0.11249500899516089,0.13192978178074158,0.01220096575620185,0.07534372811382653
9,right_wrist_yaw_link,54258,0.11737219856911836,0.10520790962665014,0.06905894061705187,0.04187400936267463
