step,done_count,ee_body_pos_count,anchor_pos_count,anchor_ori_count,reward_mean,pre_ankle_done_rate,pre_wrist_done_rate,post_ankle_done_rate,post_wrist_done_rate,pre_ankle_z_mean,pre_wrist_z_mean,post_ankle_z_mean,post_wrist_z_mean,left_wrist_pre_z_mean,right_wrist_pre_z_mean,left_wrist_post_z_mean,right_wrist_post_z_mean
0,574,574,0,0,0.03245403245091438,0.138671875,0.1796875,0.04052734375,0.05078125,0.07514402270317078,0.1292884647846222,0.05348561704158783,0.12247408181428909,0.1559622585773468,0.10261468589305878,0.14873091876506805,0.09621724486351013
1,212,212,0,0,0.03329439088702202,0.04052734375,0.05078125,0.04248046875,0.03759765625,0.05348561704158783,0.12247408181428909,0.05279255285859108,0.12153241038322449,0.14873091876506805,0.09621724486351013,0.14682643115520477,0.0962383970618248
2,215,215,0,0,0.03218705207109451,0.04248046875,0.03759765625,0.0322265625,0.03564453125,0.05279255285859108,0.12153241038322449,0.04879886656999588,0.12111102044582367,0.14682643115520477,0.0962383970618248,0.14677250385284424,0.0954495370388031
3,212,212,0,0,0.03076413832604885,0.0322265625,0.03564453125,0.0341796875,0.037109375,0.04879886656999588,0.12111102044582367,0.047161560505628586,0.12103183567523956,0.14677250385284424,0.0954495370388031,0.14663778245449066,0.09542588144540787
4,310,310,0,0,0.027037732303142548,0.0341796875,0.037109375,0.048828125,0.05224609375,0.047161560505628586,0.12103183567523956,0.04915165901184082,0.12023180723190308,0.14663778245449066,0.09542588144540787,0.14482009410858154,0.09564351290464401
5,387,387,0,0,0.023877345025539398,0.048828125,0.05224609375,0.06201171875,0.06640625,0.04915165901184082,0.12023180723190308,0.05330771207809448,0.11793763935565948,0.14482009410858154,0.09564351290464401,0.14134320616722107,0.0945320725440979
6,409,409,0,0,0.023945562541484833,0.06201171875,0.06640625,0.04345703125,0.0703125,0.05330771207809448,0.11793763935565948,0.04900325834751129,0.11260086297988892,0.14134320616722107,0.0945320725440979,0.13806283473968506,0.08713889867067337
7,412,412,0,0,0.022897114977240562,0.04345703125,0.0703125,0.0546875,0.0556640625,0.04900325834751129,0.11260086297988892,0.05193148925900459,0.10685285180807114,0.13806283473968506,0.08713889867067337,0.13089483976364136,0.08281086385250092
8,368,368,0,0,0.021952055394649506,0.0546875,0.0556640625,0.0380859375,0.0654296875,0.05193148925900459,0.10685285180807114,0.04796645790338516,0.10641930997371674,0.13089483976364136,0.08281086385250092,0.1326635479927063,0.08017507195472717
9,347,343,5,0,0.020795894786715508,0.0380859375,0.0654296875,0.04833984375,0.0439453125,0.04796645790338516,0.10641930997371674,0.050764281302690506,0.10564590990543365,0.1326635479927063,0.08017507195472717,0.13254377245903015,0.07874805480241776
10,375,316,68,0,0.01963317207992077,0.04833984375,0.0439453125,0.05419921875,0.05224609375,0.050764281302690506,0.10564590990543365,0.05273648723959923,0.11090938746929169,0.13254377245903015,0.07874805480241776,0.1410343050956726,0.08078446984291077
