iteration	checkpoint	status	num_envs	eval_steps	total_env_steps	loaded_iteration	reward_mean	done_count_total	timeout_count_total	local_non_timeout_done_rate	error_anchor_pos_mean	error_body_pos_mean	error_joint_pos_mean	error_joint_vel_mean	motion_count	total_motion_frames	summary_json	metrics_json	timeseries_csv	log
0	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_0.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	0	0.018118052039432484	15086	0	0.19708925585284282	0.09399187900001389	1.0277004684492896	1.6768779405782055	13.174587921952723	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_00000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_00000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_00000/resource_adjusted_ppo_eval_20260623_054421_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_00000/resource_adjusted_ppo_eval_20260623_054421_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
2500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_2500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	2500	0.0232524976078234	15758	0	0.20586852006688963	0.09145478708638395	1.07979001309162	1.6335377559614022	13.116564234812124	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_02500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_02500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_02500/resource_adjusted_ppo_eval_20260623_054516_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_02500/resource_adjusted_ppo_eval_20260623_054516_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
5000	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_5000.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	5000	0.024125837206990026	15856	0	0.20714882943143811	0.09251011408441841	1.0445476780368332	1.6153179199799248	12.908890715361041	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_05000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_05000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_05000/resource_adjusted_ppo_eval_20260623_054608_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_05000/resource_adjusted_ppo_eval_20260623_054608_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
7500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_7500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	7500	0.023675433503320582	15615	0	0.2040003135451505	0.09332372912246248	1.0717642995027394	1.6138463121991493	13.017172315048931	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_07500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_07500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_07500/resource_adjusted_ppo_eval_20260623_054657_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_07500/resource_adjusted_ppo_eval_20260623_054657_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
10000	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_10000.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	10000	0.023463151081275183	15530	0	0.20288984113712374	0.09282676306207444	1.0607640836948535	1.6613493491973366	13.036787050922579	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_10000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_10000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_10000/resource_adjusted_ppo_eval_20260623_054747_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_10000/resource_adjusted_ppo_eval_20260623_054747_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
12500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_12500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	12500	0.023909860648787938	15634	0	0.20424853678929766	0.09340594705181776	1.0505822910911662	1.636597378596813	12.848831194051133	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_12500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_12500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_12500/resource_adjusted_ppo_eval_20260623_054837_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_12500/resource_adjusted_ppo_eval_20260623_054837_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
15000	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_15000.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	15000	0.02390940179643424	16169	0	0.21123798076923078	0.09193736160279915	1.0631230404743781	1.6108198153932756	12.786436815624652	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_15000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_15000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_15000/resource_adjusted_ppo_eval_20260623_054927_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_15000/resource_adjusted_ppo_eval_20260623_054927_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
17500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_17500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	17500	0.023710440426915384	15635	0	0.20426160117056857	0.09322699893228585	1.0381299698831246	1.622074911825633	12.817201380745622	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_17500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_17500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_17500/resource_adjusted_ppo_eval_20260623_055017_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_17500/resource_adjusted_ppo_eval_20260623_055017_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
20000	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_20000.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	20000	0.022939688096252773	15154	0	0.19797763377926422	0.09454563159159195	1.0282077733489583	1.708286279619338	12.989143221025483	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_20000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_20000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_20000/resource_adjusted_ppo_eval_20260623_055107_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_20000/resource_adjusted_ppo_eval_20260623_055107_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
22500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_22500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	22500	0.023773043357259455	15030	0	0.19635765050167225	0.09632568075056858	1.012037671928023	1.6703229911351283	12.92987691932498	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_22500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_22500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_22500/resource_adjusted_ppo_eval_20260623_055158_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_22500/resource_adjusted_ppo_eval_20260623_055158_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
25000	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_25000.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	25000	0.02371309405460605	14998	0	0.19593959030100336	0.09432592827290995	1.042026024698015	1.6733044577282807	12.829243414677107	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_25000/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_25000.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_25000/resource_adjusted_ppo_eval_20260623_055247_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_25000/resource_adjusted_ppo_eval_20260623_055247_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
27500	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_27500.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	27500	0.024502733295602742	14986	0	0.1957828177257525	0.09642788309317368	1.0096334408358187	1.6686207875360215	12.628555004213965	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_27500/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_27500.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_27500/resource_adjusted_ppo_eval_20260623_055337_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_27500/resource_adjusted_ppo_eval_20260623_055337_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
29999	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_training/resource_adjusted_ppo_20260622_114146_seed20260851/rank_0/model_29999.pt	ok_stage1_multisource_paper_contract_ppo_checkpoint_eval_completed	256	299	76544	29999	0.024131401152315747	14860	0	0.19413670568561872	0.09732356860635671	1.0095036663737982	1.6739522380175	12.795037461264078	49	448358	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_29999/tracking_stage1_multisource_paper_contract_ppo_checkpoint_eval_iter_29999.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_29999/resource_adjusted_ppo_eval_20260623_055427_seed20260853/eval_metrics.json	/mnt/infini-data/test/BeyondMimic/res/runs/stage1_multisource_paper_contract_ppo_checkpoint_sweep/iter_29999/resource_adjusted_ppo_eval_20260623_055427_seed20260853/eval_timeseries.csv	/mnt/infini-data/test/BeyondMimic/logs/tracking_stage1_multisource_paper_contract_ppo_checkpoint_sweep/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log
