frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.0232693984691244,0.010687594642543428,0.735852498081913,0.052872638827471646,0.05950623062491442,0.07942424179646752,0.23700161707674552,0.04060252062780154,0.16222984646404315,0.1500807253313311,0.23700161707674552,0.7955343723297119,0.0642456399488336,0.02891785148521627,3,False
1,0.03333333333333333,0.24000000000000013,0.027830226022925442,0.012547763858598607,0.7349211056700127,0.061223215062150796,0.06027353381131416,0.07863105294866811,0.3591801627507658,0.1639881523715524,0.7455184261154201,0.723181478916481,0.3591801627507658,0.7955560088157654,0.06744508549830901,0.03422348040560205,2,False
2,0.06666666666666667,0.2600000000000001,0.03326148810430914,0.016168300287577608,0.7340939939825014,0.07328830271861464,0.059920670569885086,0.08669833449029518,0.43975890708329557,0.25176356887997253,0.8297104823583049,1.095380938087108,0.43975890708329557,0.7955620288848877,0.07158672657297385,0.04703556297521022,3,False
3,0.1,0.28000000000000014,0.03845591416847213,0.020926324483473542,0.7323425779150022,0.08446113562955201,0.06369365427984677,0.09500200627019491,0.5017065149689337,0.3014028889052759,1.017161027300595,1.260279881294592,0.5017065149689337,0.7955504059791565,0.07717816357885482,0.06040368094163501,2,False
4,0.13333333333333333,0.30000000000000016,0.04257354613477313,0.025558932698075017,0.729438277831328,0.09257696003494109,0.07100610565954539,0.10267790225356853,0.5396539183733242,0.31447429903371765,0.9828180527697825,1.438714853162088,0.5396539183733242,0.7955300211906433,0.08367466131150979,0.07284026624684029,2,False
5,0.16666666666666666,0.3200000000000002,0.04569345008702791,0.029973390559911377,0.7259155265391998,0.09422269068688102,0.07604671893759347,0.11338962587466497,0.5566071464377934,0.3042047736905403,0.992264407160174,1.471303654794135,0.5566071464377934,0.7954514026641846,0.09032564837562423,0.08253342084348309,1,False
6,0.2,0.3400000000000002,0.048443497272376616,0.03224190231009935,0.7213806187897317,0.0924866853536625,0.07909441555608579,0.12388997909266487,0.5871370081018832,0.3102270665258447,1.0645737356722949,1.5325794774470138,0.5871370081018832,0.795348584651947,0.09689460214811983,0.09022079291189539,1,False
7,0.23333333333333334,0.3600000000000002,0.05112204026313795,0.032424379192674636,0.7163990214776464,0.08842623871865367,0.08001778462445636,0.13332554671261507,0.6135532156332654,0.3103238573103506,0.9421921244131957,1.641789042271671,0.6135532156332654,0.7951974272727966,0.10296906344025188,0.09637087812924573,2,False
8,0.26666666666666666,0.3800000000000002,0.05376957088413979,0.030682503023774146,0.7114568877163888,0.08294522986216042,0.07957432066516425,0.14316486133162123,0.6285815388171309,0.29547308956727536,0.7709269574598895,1.6639684917990447,0.6285815388171309,0.7949985861778259,0.10829065033985893,0.10269216852864124,3,False
9,0.3,0.40000000000000024,0.05624529423247793,0.02723425318932665,0.7063542429993451,0.07797528982303918,0.07705209191513851,0.14903761489993333,0.6379670175795779,0.2762600854741575,0.6481724365217509,1.6235884351974372,0.6379670175795779,0.7947760224342346,0.11291136417105757,0.10734451865699601,3,False
10,0.3333333333333333,0.42000000000000026,0.058637509189294126,0.02253303482737295,0.7012502219154564,0.07459570555308453,0.07376956677251686,0.1501382041012611,0.6409082561937995,0.25345346178604156,0.5975993184351334,1.6344737830513791,0.6409082561937995,0.7944598197937012,0.11709861728036187,0.11022795474665785,2,False
11,0.36666666666666664,0.4400000000000003,0.06054755782481565,0.016698875715164808,0.6960969718471582,0.0741067636871594,0.07000246274945218,0.14627258877563987,0.6350545567209221,0.22569564313469362,0.5502897442324407,1.542170611267499,0.6350545567209221,0.7941030263900757,0.12096336663009219,0.11042993988966257,1,False
12,0.4,0.4600000000000003,0.06207540198070166,0.010670662736176513,0.6912533080310674,0.0754318680115987,0.06532936936893766,0.1378916649736669,0.6107902653346082,0.2182122171866105,0.5057580949922628,1.5399249053413389,0.6107902653346082,0.7936649918556213,0.124525365015922,0.10739481795681471,2,False
13,0.43333333333333335,0.4800000000000003,0.06335772741252627,0.0050841459371442944,0.6869805372113479,0.07675739445711736,0.05945161036071376,0.12560363539936228,0.6010633749212106,0.22104419397588582,0.46342931151854905,1.4006311732390304,0.6010633749212106,0.7931522130966187,0.12777106472413874,0.10184880562745821,1,False
14,0.4666666666666667,0.5000000000000003,0.06455292056633749,-3.9740687253133873e-05,0.6834140978300769,0.07808716308448596,0.052434216050656055,0.11173621170578363,0.592473073377327,0.2128596016449658,0.6261328449058496,1.256762233869229,0.592473073377327,0.792602002620697,0.13067444075572912,0.09504715025687767,1,False
15,0.5,0.5200000000000004,0.06561676099452178,-0.004823200742233896,0.68060307689556,0.07987219456632243,0.04340569501677658,0.09767239773445023,0.5907427702031522,0.19923228936416412,0.7354495162207207,1.23144552429723,0.5907427702031522,0.7919504046440125,0.1331572185915112,0.08846472725152241,2,False
16,0.5333333333333333,0.5400000000000004,0.06646700492900662,-0.009049542809304648,0.6780854143170125,0.08067376395413811,0.03454406815705478,0.0843687270898086,0.5926513824124021,0.1876134717960291,0.8096413179980531,1.1754665119880392,0.5926513824124021,0.7912523746490479,0.13531087827619437,0.08426093688048993,3,False
17,0.5666666666666667,0.5600000000000004,0.06710258487548833,-0.013119824402310765,0.676418429920734,0.08539178576762387,0.02373048765383519,0.07033412883148038,0.599451301036485,0.1744407501923884,0.8390238460764607,1.0420878000940577,0.599451301036485,0.7904615998268127,0.1369324507722912,0.08630237716143828,2,False
18,0.6,0.5800000000000004,0.06770594568837858,-0.016740837050351128,0.6757686871650471,0.09204116328186886,0.014727945213825352,0.05668268650750545,0.6027450966996466,0.1701628689586169,0.8305286437276529,1.0072395252887092,0.6027450966996466,0.7896196246147156,0.13786898288731989,0.0934192540856396,4,False
19,0.6333333333333333,0.6000000000000004,0.06788287640862277,-0.019136188644508778,0.6756172358827666,0.09787620123884723,0.010440697561083961,0.04474194409459448,0.6026137760856298,0.15820438113156718,0.8066583456910044,0.8620873737133933,0.6026137760856298,0.788752019405365,0.13820115298477623,0.10233382063353313,9,False
20,0.6666666666666666,0.6200000000000004,0.06709958602708838,-0.020471368360816523,0.6755015209622659,0.10449102245231483,0.010794310022250378,0.03484757880768744,0.6188148439352332,0.15853211629158007,0.7505647627025522,0.9588973014229936,0.6188148439352332,0.7879288196563721,0.13832053190559573,0.11078056793605613,7,False
21,0.7,0.6400000000000005,0.06608604832360335,-0.019715568973986408,0.6748445269603279,0.10344467614102126,0.02461284537684927,0.02710193295779279,0.6540233191279938,0.18458709707260154,0.7082657074833558,0.9907826935950075,0.6540233191279938,0.7871783971786499,0.13864276066352862,0.11258744628872941,7,False
22,0.7333333333333333,0.6600000000000005,0.06455327185941664,-0.01755766050553147,0.6737045477478972,0.09910307002569053,0.037125521393846714,0.015787084007558076,0.6847497644110715,0.20615136255486605,0.8715718846971053,0.966320084342775,0.6847497644110715,0.786573588848114,0.139755960066183,0.11241884445581597,10,False
23,0.7666666666666667,0.6800000000000005,0.06143887827005085,-0.014062086278997282,0.6721702618549689,0.09217367494638493,0.040223318925064096,0.004722710910849745,0.7091629047873278,0.22385221985736278,1.076990904075862,0.76058246097245,0.7091629047873278,0.7869887948036194,0.14137203493013342,0.11288091434826965,10,False
24,0.8,0.7000000000000005,0.057503102134405217,-0.008708929882526006,0.6709498465874605,0.095544289438318,0.04559692679032142,-0.00023345026746641938,0.7319202554410917,0.24178262872918774,1.2400579352046084,0.7766050345993564,0.7319202554410917,0.787913978099823,0.14328182091448188,0.12058948100938652,9,False
25,0.8333333333333334,0.7200000000000005,0.0522611544829794,-0.0021645326851470895,0.6699065575628765,0.10884678953351047,0.05333770777110737,0.003351255970415246,0.7505314242737204,0.25279864660848933,1.4352479036460761,0.8470337151217922,0.7505314242737204,0.787676990032196,0.14401455696219298,0.13368424132047627,8,False
26,0.8666666666666667,0.7400000000000005,0.04584151086268722,0.005090753361478505,0.6685037144712305,0.12778868348090214,0.06194102555484148,0.009150268973634341,0.7590379881380536,0.24784031644126564,1.4517426525205532,0.9188104141383558,0.7590379881380536,0.7873613834381104,0.14487989607515828,0.15205270451483385,6,False
27,0.9,0.7600000000000006,0.03859993149592028,0.013061605070777303,0.666531455477423,0.1439843873888352,0.06984821592260722,0.014293531279049304,0.7624574137557816,0.2386356770860788,1.338563983279424,0.8615780038921508,0.7624574137557816,0.786888599395752,0.14648396769222083,0.1698239926384437,5,False
28,0.9333333333333333,0.7800000000000006,0.030778584798246612,0.021629413289052518,0.6641924170922873,0.15862295156126993,0.0765448905465352,0.017480603181164373,0.761640175183767,0.22715017814492236,1.2404077810504113,0.8344580460087423,0.761640175183767,0.7863630056381226,0.14895234013946423,0.18703678113158576,7,False
29,0.9666666666666667,0.8000000000000006,0.02253417367037182,0.030914451974799632,0.6608366612846801,0.16914982584008886,0.08136286576653202,0.02090878991810403,0.7607131407633597,0.21668897426973047,1.141737710230785,0.7992220935316715,0.7607131407633597,0.7858110070228577,0.1529568936493071,0.19951828651037545,6,False
30,1.0,0.8200000000000006,0.013995925470185498,0.04041654737429148,0.6555942193766601,0.1698477044500329,0.08629518212353643,0.028044485046217326,0.7611420347383786,0.20340000753942505,1.0366359838745607,0.8960011474290754,0.7611420347383786,0.7851083874702454,0.15877955756018253,0.20455390814601468,5,False
31,1.0333333333333334,0.8400000000000006,0.0057019177797027224,0.04896836610406771,0.6476151934081771,0.16481878677126227,0.08846598183430693,0.032750823130869806,0.756415377922717,0.1868032750676922,0.9248422390205581,0.8346487577994272,0.756415377922717,0.7844228148460388,0.16709585596672558,0.20177976241985082,4,False
32,1.0666666666666667,0.8600000000000007,-0.0019269391123406673,0.055812189947670114,0.6369933504523427,0.1566886198143672,0.08959528950551597,0.03646650582504871,0.7498395907595207,0.17473679809836093,0.8171993693751085,0.7918379355654256,0.7498395907595207,0.7837712168693542,0.1773981688333287,0.1958069318460363,5,False
33,1.1,0.8800000000000007,-0.008777093240492424,0.06057939758189655,0.6240865718883374,0.14768324238735414,0.08781158757677941,0.037119035283160455,0.7464852415346926,0.1698641548548249,0.7266079669927377,0.7243929244139973,0.7464852415346926,0.7833368182182312,0.18909146183135414,0.18776346615791023,4,False
