frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.02093188937725768,0.010090290725284301,0.7372926465499302,0.057192583561914645,0.058628995880872926,0.07974745072477829,0.24610968709202355,0.042995065680311015,0.17424317250694765,0.18865000925030587,0.24610968709202355,0.7955343723297119,0.06215066893653741,0.033006120536359485,3,False
1,0.03333333333333333,0.24000000000000013,0.024912549274686537,0.011965824159333883,0.7365306235828248,0.06531367656690806,0.059503848291454726,0.07984994730448168,0.3660813350697931,0.1632848998470713,0.712166694376683,0.6968711452089364,0.3660813350697931,0.7955560088157654,0.06483112229670386,0.03851433617997875,2,False
2,0.06666666666666667,0.2600000000000001,0.029826108260624186,0.015553731863159887,0.7359586430713828,0.0776045384313002,0.05843318332624018,0.08896931384100157,0.44278385797496067,0.24788871005540564,0.8443028852269836,1.137841976241411,0.44278385797496067,0.7955620288848877,0.06839034848722,0.05186420031833947,1,False
3,0.1,0.28000000000000014,0.03448798037381871,0.02030320165996146,0.7343674894647537,0.08755789891858083,0.06183822262716482,0.09785766702208425,0.504396597787192,0.2978252892660466,1.0084681597475138,1.2565583157722549,0.504396597787192,0.7955504059791565,0.07349469925360377,0.06444202208167854,2,False
4,0.13333333333333333,0.30000000000000016,0.03813655238996024,0.0248172944593395,0.7316675036524269,0.09466969764562225,0.06821025057198749,0.10601345347193065,0.5412054974607623,0.3097671566364824,0.966973799603242,1.4257676836861837,0.5412054974607623,0.7955300211906433,0.07952472313960728,0.07604124182844192,2,False
5,0.16666666666666666,0.3200000000000002,0.04092740141238266,0.029017949030416,0.7284528041814798,0.0953745281787103,0.07212223363318507,0.11696721217827857,0.5580566951929393,0.30055116519773667,0.9979289213052469,1.4466168721104011,0.5580566951929393,0.7954514026641846,0.08570805262084222,0.08503044036440408,1,False
6,0.2,0.3400000000000002,0.043485031192577725,0.03110830887911075,0.7243783203026918,0.0925899724538919,0.07417652286150538,0.12759137028859477,0.5893511393754881,0.30887494934208803,1.0721947258577536,1.508921256901888,0.5893511393754881,0.795348584651947,0.09178166738938193,0.09206534637641842,1,False
7,0.23333333333333334,0.3600000000000002,0.04606377907325897,0.03128978088555988,0.7199960881888575,0.08689349525989822,0.074122277702233,0.13713457630759057,0.6158887452984297,0.3087715733160808,0.9454657036284894,1.5908590559276239,0.6158887452984297,0.7951974272727966,0.09733406169963708,0.09761837548703398,1,False
8,0.26666666666666666,0.3800000000000002,0.048676977222311305,0.029466491336580844,0.7152499757287218,0.07929948367406328,0.07333347059568514,0.14514639180996688,0.6306168866303998,0.29407883379515243,0.781428523904836,1.67291445089105,0.6306168866303998,0.7949985861778259,0.10232320441469385,0.10198519482127677,1,False
9,0.3,0.40000000000000024,0.05140920161493468,0.026197543776179204,0.7105176219108099,0.07183147715947308,0.06959904302356619,0.15025595266607514,0.6393202987753452,0.2759512750995382,0.6539142564204942,1.592619248996944,0.6393202987753452,0.7947760224342346,0.10683358658649603,0.10508466449205003,2,False
10,0.3333333333333333,0.42000000000000026,0.05420760251827224,0.021468070069879188,0.7057040338112389,0.06732254383167051,0.0656766839710913,0.15080331939433092,0.6416882546632953,0.25308750686975723,0.6043930558288492,1.643245921496968,0.6416882546632953,0.7944598197937012,0.11098298806863904,0.10684710999790169,2,False
