variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.011824209243059158,1,0.06587802618741989,0.004890075884759426,0.00043375082896091044,0.011845307424664497,0.011845063418149948,0.010617094114422798,0.2837774455547333,0.28377339243888855
teacher,1,0.04708890989422798,0,0.09643564373254776,0.000967587751802057,0.001578291179612279,0.0070348866283893585,0.007034837268292904,0.00477271992713213,0.3954591751098633,0.39545464515686035
teacher,2,0.03825429454445839,0,0.17988918721675873,0.010525809600949287,0.002263697562739253,0.008676220662891865,0.008676054887473583,0.009867008775472641,0.9232353568077087,0.9232276082038879
teacher,3,0.030890386551618576,0,0.24317914247512817,0.024170193821191788,0.004909938666969538,0.012942683883011341,0.01294259075075388,0.006816140376031399,1.1704801321029663,1.170470952987671
teacher,4,0.026157401502132416,0,0.3090030252933502,0.04169851541519165,0.0044795130379498005,0.011643243953585625,0.011643137782812119,0.006256690248847008,1.3780262470245361,1.3780156373977661
teacher,5,0.019239936023950577,0,0.40836048126220703,0.06384799629449844,0.004381772130727768,0.008169259876012802,0.008169152773916721,0.004338869825005531,1.0895307064056396,1.0895222425460815
teacher,6,0.015830673277378082,0,0.5353666543960571,0.08985023945569992,0.007358368951827288,0.023524105548858643,0.023523826152086258,0.012611242942512035,2.827148914337158,2.82712984085083
teacher,7,0.011945128440856934,0,0.633529782295227,0.12022119015455246,0.0043024043552577496,0.010249427519738674,0.010249478742480278,0.005944001954048872,2.071476459503174,2.0714619159698486
teacher,8,0.007211204618215561,0,0.7456521391868591,0.15495024621486664,0.006959385704249144,0.020732901990413666,0.020732762292027473,0.011613784357905388,2.3461062908172607,2.346090316772461
teacher,9,0.0037583746016025543,0,0.833713710308075,0.1934996396303177,0.009233222343027592,0.015014400705695152,0.015014292672276497,0.0054051014594733715,1.3375862836837769,1.3375762701034546
teacher,10,-0.0009631402790546417,0,0.9561255574226379,0.2353159338235855,0.009681303054094315,0.016233477741479874,0.01623346097767353,0.007795869372785091,1.970094919204712,1.9700813293457031
teacher,11,-0.004862172529101372,1,1.0767356157302856,0.004579369444400072,0.007689971476793289,0.025515533983707428,0.025515278801321983,0.013493262231349945,1.2118284702301025,1.2118189334869385
teacher,12,0.04990450665354729,0,0.07137931138277054,0.0003798093239311129,0.0004144931153859943,0.006447893101722002,0.006447819992899895,0.005878577008843422,0.35699009895324707,0.3569861352443695
teacher,13,0.04353129491209984,0,0.12806208431720734,0.006991330999881029,0.0011610683286562562,0.006284354720264673,0.006284245289862156,0.004790361970663071,0.6174983382225037,0.6174924373626709
teacher,14,0.038681428879499435,0,0.1955077350139618,0.018941832706332207,0.0017177886329591274,0.01268475316464901,0.012684502638876438,0.011714551597833633,0.909878671169281,0.9098711609840393
