step,reward,action_abs_mean,teacher_action_abs_mean,teacher_vae_action_mse,teacher_vae_action_abs_error_mean,target_body_error_mean
0,0.011670153588056564,0.06755606085062027,0.07152663171291351,0.0003419190179556608,0.013734254986047745,0.0033535489346832037
1,0.04758072271943092,0.06663918495178223,0.0732852891087532,0.0005595539114437997,0.019585980102419853,0.0031841823365539312
2,0.046174366027116776,0.12987762689590454,0.1436605155467987,0.0019292209763079882,0.03650636970996857,0.007450568024069071
3,0.043739404529333115,0.19375541806221008,0.18614068627357483,0.0007712750812061131,0.021610485389828682,0.015709182247519493
4,0.038525424897670746,0.2599867582321167,0.26438936591148376,0.0011160619324073195,0.02788218855857849,0.027927739545702934
5,0.03547607734799385,0.28229913115501404,0.2842337191104889,0.0006927900249138474,0.0194585919380188,0.04450741037726402
6,0.031863074749708176,0.329436719417572,0.3378184139728546,0.0009038125863298774,0.0239630788564682,0.06428661197423935
7,0.02750052511692047,0.3634060025215149,0.373767614364624,0.002168784150853753,0.03985482081770897,0.08884276449680328
8,0.02319076657295227,0.40328744053840637,0.42135754227638245,0.0018498074496164918,0.03257657214999199,0.11618027836084366
9,0.01968710497021675,0.4460316598415375,0.4553792178630829,0.004700079560279846,0.057898808270692825,0.14824560284614563
10,0.016059115529060364,0.4990135133266449,0.5041826367378235,0.0011813011951744556,0.027340762317180634,0.18384487926959991
11,0.013005591928958893,0.5567495226860046,0.5638307929039001,0.003985033370554447,0.04831910505890846,0.22379563748836517
12,0.007095934823155403,0.6277509331703186,0.6193631291389465,0.0016397024737671018,0.032780274748802185,0.0022973716259002686
13,0.04810747876763344,0.06897880136966705,0.06456603854894638,0.0004977493081241846,0.015989132225513458,0.001518185599707067
14,0.04487784579396248,0.14863066375255585,0.14986881613731384,0.0008990795467980206,0.023440605029463768,0.003117667743936181
15,0.043805111199617386,0.20266063511371613,0.19538527727127075,0.000897123187314719,0.024525359272956848,0.01216895692050457
16,0.03965139016509056,0.2716618478298187,0.2640874981880188,0.0013813350815325975,0.03131629154086113,0.024822672829031944
17,0.037913978099823,0.32007908821105957,0.30050042271614075,0.0020857651252299547,0.037701644003391266,0.04166115075349808
18,0.03352823480963707,0.35926660895347595,0.35890695452690125,0.0023898142389953136,0.03776363283395767,0.06178507208824158
19,0.031080003827810287,0.41029027104377747,0.40463361144065857,0.0014432421885430813,0.03138241544365883,0.08641762286424637
20,0.02709648385643959,0.466848760843277,0.4711030125617981,0.0012505310587584972,0.028528155758976936,0.11472509801387787
21,0.02270662784576416,0.5237959623336792,0.5340020656585693,0.0011239758459851146,0.02666938677430153,0.146816223859787
22,0.019693780690431595,0.5853779315948486,0.5940655469894409,0.002542989095672965,0.04156846925616264,0.18345093727111816
23,0.015528485178947449,0.6204260587692261,0.6138789653778076,0.002499423222616315,0.03990845009684563,0.2234003096818924
24,0.010827528312802315,0.6452146768569946,0.6466225981712341,0.0021389012690633535,0.03576810657978058,0.008357452228665352
25,0.0428817979991436,0.0769217237830162,0.08293743431568146,0.00041939978837035596,0.017699943855404854,0.001803755760192871
26,0.03525066003203392,0.16437985002994537,0.17941643297672272,0.003856263356283307,0.04837486520409584,0.007770227733999491
27,0.03243254870176315,0.237274169921875,0.25339022278785706,0.005157285835593939,0.05756417661905289,0.02095077373087406
28,0.03087102621793747,0.3149763345718384,0.32120388746261597,0.00233527016825974,0.04004713520407677,0.0387411043047905
29,0.028384264558553696,0.3754936754703522,0.38129234313964844,0.0008803574019111693,0.024289162829518318,0.060494787991046906
