variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.032910991460084915,1,0.0322539322078228,0.3472709059715271,3.892203312716447e-05,3.823374936473556e-05,3.823371298494749e-05,3.976479945322353e-08,0.06071248650550842,0.06067910045385361
teacher,1,0.016049113124608994,1,0.0345584936439991,0.3505120575428009,4.0199469367507845e-05,4.075418473803438e-05,4.075421384186484e-05,6.135608288104777e-08,0.08658455312252045,0.08652134984731674
teacher,2,0.028575055301189423,1,0.026187008246779442,0.3371560871601105,4.768135113408789e-05,4.7828489186940715e-05,4.7828452807152644e-05,1.17881491235039e-08,0.08298563957214355,0.0829235389828682
teacher,3,0.024191701784729958,1,0.036571748554706573,0.34495487809181213,5.1087474275846034e-05,5.166419214219786e-05,5.1664101192727685e-05,7.821584091516343e-08,0.10116805136203766,0.10108696669340134
teacher,4,0.026185940951108932,1,0.034262146800756454,0.3569086194038391,8.724204235477373e-05,8.773260924499482e-05,8.773254376137629e-05,7.501441956492272e-08,0.06116417795419693,0.0611305795609951
teacher,5,0.028310906141996384,1,0.029767600819468498,0.358519583940506,6.244653195608407e-05,6.231407314771786e-05,6.231406587176025e-05,1.2355300782473932e-08,0.08181367814540863,0.08175288885831833
teacher,6,0.035321902483701706,1,0.019885482266545296,0.3390040993690491,3.05270696117077e-05,3.045122866751626e-05,3.045122866751626e-05,1.3952250021986856e-08,0.08123990893363953,0.08118007332086563
teacher,7,0.026797663420438766,1,0.0395304299890995,0.32888156175613403,4.100893420400098e-05,4.074796015629545e-05,4.074785829288885e-05,1.8460697503996926e-07,0.0680418536067009,0.06800121814012527
teacher,8,0.02915133163332939,1,0.03268531337380409,0.3604758679866791,6.365326407831162e-05,6.468881474575028e-05,6.46888292976655e-05,8.480633795215908e-08,0.10194474458694458,0.10186208039522171
teacher,9,0.02935076877474785,1,0.0281591285020113,0.3248897194862366,2.9556313165812753e-05,2.9177470423746854e-05,2.9177441319916397e-05,8.01868935695893e-08,0.0655200332403183,0.06548261642456055
teacher,10,0.04314117878675461,1,0.03096935898065567,0.3368750512599945,5.190694719203748e-05,5.299946860759519e-05,5.299942858982831e-05,1.0674924766362892e-07,0.055202119052410126,0.055175308138132095
teacher,11,0.02818804606795311,1,0.028932008892297745,0.3516736328601837,0.0001012203429127112,0.0001005196972982958,0.00010051960271084681,9.301153625074221e-08,0.050362393260002136,0.05034160241484642
teacher,12,0.010874202474951744,1,0.04243810102343559,0.3545001149177551,1.7174261301988736e-05,1.7609416318009607e-05,1.7609394490136765e-05,2.0767044972558324e-08,0.07950309664011002,0.07944540679454803
