variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.015941854566335678,1,0.03400132805109024,0.34896764159202576,4.5879085519118235e-05,4.617718150257133e-05,4.617717786459252e-05,1.0284631457579962e-07,0.011516980826854706,0.011516539379954338
teacher,1,0.01010540034621954,1,0.03705334663391113,0.3578144609928131,7.995773921720684e-05,7.953617750899866e-05,7.953617023304105e-05,1.4828850680714822e-07,0.010581914335489273,0.010581710375845432
teacher,2,0.04469093307852745,1,0.030495429411530495,0.3500443994998932,2.167185812140815e-05,2.165840305679012e-05,2.1658388504874893e-05,5.125511570724939e-09,0.008593419566750526,0.008593164384365082
teacher,3,0.041537314653396606,1,0.026609325781464577,0.35555896162986755,0.00013257218233775347,0.00013293864321894944,0.00013293858501128852,8.543714180575535e-09,0.008843046613037586,0.008842804469168186
teacher,4,0.03809346258640289,1,0.03490413725376129,0.3571729063987732,3.350335100549273e-05,3.406661926419474e-05,3.406661198823713e-05,1.2192905352037542e-08,0.008628799580037594,0.008628549985587597
teacher,5,0.020849963650107384,1,0.03969579562544823,0.3383895754814148,4.402510239742696e-05,4.24517311330419e-05,4.2451767512829974e-05,2.1266248495521722e-07,0.010760999284684658,0.010760683566331863
teacher,6,-0.0020455969497561455,1,0.05419442057609558,0.3341268002986908,6.280434172367677e-05,6.298879452515393e-05,6.298873631749302e-05,7.775096122486502e-08,0.013602142222225666,0.013601567596197128
teacher,7,0.021659577265381813,1,0.028596827760338783,0.35745683312416077,7.224478031275794e-05,7.015164737822488e-05,7.015164737822488e-05,1.0918502368895133e-07,0.009527811780571938,0.00952759850770235
teacher,8,0.03626604005694389,1,0.029527412727475166,0.35337623953819275,3.1145526008913293e-05,3.165386078762822e-05,3.165386078762822e-05,1.4079104104780527e-08,0.008811486884951591,0.008811204694211483
teacher,9,0.04017173498868942,1,0.022585103288292885,0.3250757157802582,2.9471802918124013e-05,2.9431792427203618e-05,2.9431796065182425e-05,1.1141812805703921e-08,0.008507579565048218,0.008507353253662586
teacher,10,0.03267728164792061,1,0.033177245408296585,0.3455914556980133,4.965608968632296e-05,4.967447239323519e-05,4.967448694515042e-05,3.4909195534282844e-08,0.00971272774040699,0.00971243903040886
teacher,11,0.04281751811504364,1,0.03424755483865738,0.33777767419815063,2.943066465377342e-05,2.936536657216493e-05,2.936536657216493e-05,9.282575597069354e-09,0.008358122780919075,0.008357906714081764
teacher,12,0.029613308608531952,1,0.03341858461499214,0.3250548243522644,0.00027602299815043807,0.00028076511807739735,0.0002807650016620755,4.6013330035066247e-08,0.00902505125850439,0.009024875238537788
teacher,13,0.028907664120197296,1,0.04400615021586418,0.35741186141967773,0.00012123114720452577,0.0001241322315763682,0.0001241320715053007,1.530694362372742e-07,0.010877862572669983,0.010877612046897411
teacher,14,0.03673887997865677,1,0.025474106892943382,0.3586132824420929,2.0637802663259208e-05,2.062366002064664e-05,2.062366547761485e-05,9.971234504746462e-09,0.008806644007563591,0.00880636740475893
teacher,15,0.03407951444387436,1,0.020494524389505386,0.35496431589126587,2.0944784409948625e-05,2.1120222299941815e-05,2.1120196834090166e-05,4.211690551869651e-09,0.008527016267180443,0.008526790887117386
teacher,16,0.03315560892224312,1,0.028065698221325874,0.35413336753845215,3.4039145248243585e-05,3.441510853008367e-05,3.4415166737744585e-05,1.0712463804907202e-08,0.008579847402870655,0.008579602465033531
teacher,17,0.0361800454556942,1,0.019606344401836395,0.351181298494339,3.0587860237574205e-05,3.0598392186220735e-05,3.0598403100157157e-05,3.974696571873437e-09,0.008630244061350822,0.00862998329102993
teacher,18,0.03413717448711395,1,0.02549363113939762,0.35889962315559387,3.809100962826051e-05,3.828341868938878e-05,3.828341141343117e-05,1.076163425040022e-08,0.008808656595647335,0.008808399550616741
teacher,19,0.03159822151064873,1,0.03456905111670494,0.32758331298828125,2.7010304620489478e-05,2.6994381187250838e-05,2.699438300624024e-05,1.1688967127554406e-08,0.008881743997335434,0.00888146087527275
teacher,20,0.015251846052706242,1,0.05465726926922798,0.35803231596946716,6.90427768859081e-05,6.812046194681898e-05,6.812044739490375e-05,1.3023898759456642e-07,0.013345368206501007,0.013345157727599144
teacher,21,0.044588420540094376,1,0.028570137917995453,0.3503817915916443,1.3664637663168833e-05,1.3459467481879983e-05,1.3459463843901176e-05,7.0270020913199005e-09,0.008250940591096878,0.008250752463936806
