variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.0011682664044201374,1,0.038985077291727066,0.3542259633541107,2.610589945106767e-05,2.65002490777988e-05,2.6500241801841184e-05,3.113482804906198e-08,0.03793581202626228,0.037928227335214615
teacher,1,0.025529004633426666,1,0.031235558912158012,0.3621545732021332,1.4591441868105903e-05,1.4637853382737376e-05,1.4637848835263867e-05,1.6638360023080168e-08,0.038237184286117554,0.03822953253984451
teacher,2,0.03690126910805702,1,0.03481706976890564,0.326617956161499,2.0675304767792113e-05,2.0689905795734376e-05,2.0689916709670797e-05,1.1441796843314478e-08,0.03779476508498192,0.03778720647096634
teacher,3,0.013815113343298435,1,0.04315883666276932,0.3579263985157013,7.164356065914035e-05,7.191433542175218e-05,7.191420445451513e-05,1.6263999214061187e-07,0.039633527398109436,0.03962640464305878
teacher,4,0.003831343725323677,1,0.036871496587991714,0.34242478013038635,1.9567170966183767e-05,2.0094430510653183e-05,2.0094415958737954e-05,4.120273544572228e-08,0.03744710981845856,0.03743988648056984
teacher,5,0.023399515077471733,1,0.029580112546682358,0.3532082736492157,1.1315139090584125e-05,1.1312878086755518e-05,1.1312891729176044e-05,1.0071981471071467e-08,0.03814167156815529,0.03813401609659195
teacher,6,0.04248102754354477,1,0.02472788281738758,0.3511393666267395,2.1092237147968262e-05,2.1179599571041763e-05,2.1179579562158324e-05,5.612831088797066e-09,0.03784770518541336,0.03784015029668808
teacher,7,0.026735713705420494,1,0.036061253398656845,0.34438034892082214,4.319381696404889e-05,4.2582574678817764e-05,4.2582636524457484e-05,1.8781104671461435e-08,0.029955673962831497,0.029950201511383057
teacher,8,0.01606312021613121,1,0.03341769427061081,0.3529979884624481,7.512582669733092e-05,7.411045953631401e-05,7.411059050355107e-05,1.4203413911673124e-07,0.03102412074804306,0.03101874329149723
teacher,9,0.035141993314027786,1,0.030831431970000267,0.3529573380947113,2.6431533115101047e-05,2.6160705601796508e-05,2.61607019638177e-05,8.244362525999804e-09,0.03827529028058052,0.03826764225959778
teacher,10,0.04131145402789116,1,0.03562687337398529,0.35133442282676697,2.319018676644191e-05,2.3185975805972703e-05,2.3186001271824352e-05,1.5815681209119248e-08,0.03875628858804703,0.03874845430254936
teacher,11,0.015509285032749176,1,0.0357772558927536,0.34158071875572205,3.772741911234334e-05,3.730372918653302e-05,3.730375465238467e-05,2.9049955330151533e-08,0.039035238325595856,0.03902735188603401
teacher,12,0.019290253520011902,1,0.0347127802670002,0.3322782516479492,2.814205436152406e-05,2.8351378205115907e-05,2.8351414584903978e-05,2.2006949151887056e-08,0.04174572601914406,0.04173745959997177
teacher,13,0.014130509458482265,1,0.03797798976302147,0.34675079584121704,1.170414725493174e-05,1.1811272088380065e-05,1.181125935545424e-05,2.4573463264232487e-08,0.03402428701519966,0.03401782363653183
teacher,14,0.02372327819466591,1,0.0503486767411232,0.3405005633831024,0.00014325814845506102,0.0001443265500711277,0.00014432656462304294,2.475942153523647e-07,0.03763923794031143,0.03763275966048241
teacher,15,0.03138924390077591,1,0.03354991599917412,0.33745238184928894,3.103978087892756e-05,3.146633389405906e-05,3.146632661810145e-05,3.8462101059622e-08,0.03772696852684021,0.0377197265625
teacher,16,0.010784880258142948,1,0.04724646732211113,0.3481149971485138,4.936977711622603e-05,4.910770439892076e-05,4.9107773520518094e-05,1.7512876127057098e-07,0.03590250760316849,0.035895854234695435
teacher,17,0.026553262025117874,1,0.04297920688986778,0.33667176961898804,4.2047638999065384e-05,4.228520629112609e-05,4.2285184463253245e-05,7.330929197024716e-09,0.0383368656039238,0.03832913190126419
teacher,18,0.030776940286159515,1,0.034141141921281815,0.3393321633338928,1.947386044776067e-05,1.8805163563229144e-05,1.8805185391101986e-05,3.020448602342185e-08,0.03580800071358681,0.03580122068524361
teacher,19,0.022965185344219208,1,0.03733118623495102,0.3344477117061615,4.070707655046135e-05,4.131939567741938e-05,4.13193556596525e-05,3.763571498893725e-08,0.03356329724192619,0.033557165414094925
teacher,20,0.024901174008846283,1,0.028899235650897026,0.354529470205307,4.1172832425218076e-05,4.244175579515286e-05,4.244173760525882e-05,1.103878517483281e-07,0.04243776202201843,0.04242939129471779
teacher,21,0.03631867095828056,1,0.027363143861293793,0.33386626839637756,5.0523431127658114e-05,4.989399167243391e-05,4.989403169020079e-05,7.953784297853872e-09,0.03819601237773895,0.038188375532627106
teacher,22,0.03723009675741196,1,0.030881360173225403,0.34600409865379333,5.683360359398648e-05,5.8888064813800156e-05,5.888810846954584e-05,6.812836517156029e-08,0.04144741967320442,0.041439615190029144
teacher,23,0.0066689616069197655,1,0.05273923650383949,0.32848045229911804,4.490153878577985e-05,4.346628702478483e-05,4.346625428297557e-05,2.1265194050101854e-07,0.048867758363485336,0.04885834455490112
teacher,24,0.026674672961235046,1,0.03654852509498596,0.3501048684120178,2.8456488507799804e-05,2.7215242880629376e-05,2.7215228328714147e-05,1.0405727834950085e-07,0.03812364116311073,0.038116294890642166
teacher,25,0.02909182384610176,1,0.03618822246789932,0.35390982031822205,0.00011442115646786988,0.0001150693788076751,0.00011506933515192941,2.882750393951028e-08,0.031643208116292953,0.03163739666342735
teacher,26,0.04050403833389282,1,0.024810491129755974,0.3497810959815979,3.419399945414625e-05,3.414793900446966e-05,3.4147924452554435e-05,7.3247488074912326e-09,0.03783777356147766,0.03783022239804268
teacher,27,0.04366115853190422,1,0.03708965331315994,0.35422709584236145,2.6911762688541785e-05,2.6852285373024642e-05,2.68523144768551e-05,1.2087792100601291e-08,0.03761628642678261,0.037608761340379715
teacher,28,0.018600504845380783,1,0.03881410136818886,0.3577284812927246,4.2164898331975564e-05,4.210909901303239e-05,4.210909901303239e-05,5.5709779012147465e-09,0.03802480548620224,0.03801716864109039
teacher,29,0.0429452508687973,1,0.02427608147263527,0.35579267144203186,4.2909083276754245e-05,4.2843872506637126e-05,4.2843850678764284e-05,8.952476093782025e-09,0.03809967264533043,0.038092054426670074
teacher,30,0.019612841308116913,1,0.03266957029700279,0.3417379856109619,4.336948404670693e-05,4.2949752241838723e-05,4.294980317354202e-05,9.994338512342438e-08,0.04079684615135193,0.0407889299094677
teacher,31,-0.013027501292526722,1,0.04830252006649971,0.3311429023742676,9.014788520289585e-05,8.945435547502711e-05,8.945445733843371e-05,1.1831087931568618e-07,0.04476242884993553,0.04475374519824982
teacher,32,0.02608288824558258,1,0.03332715854048729,0.34473612904548645,5.034405330661684e-05,4.9067468353314325e-05,4.9067442887462676e-05,1.0544604123197132e-07,0.039221301674842834,0.03921392187476158
teacher,33,0.013839974999427795,1,0.0410865843296051,0.3384855091571808,1.5757745131850243e-05,1.5961673852871172e-05,1.5961684766807593e-05,8.637878856632142e-09,0.0381898358464241,0.03818216547369957
