step,reward,action_abs_mean,teacher_action_abs_mean,teacher_vae_action_mse,teacher_vae_action_abs_error_mean,target_body_error_mean
0,0.030664946883916855,0.03588435426354408,0.034875720739364624,3.0126237106742337e-05,0.004274282138794661,0.335732638835907
1,0.04119065776467323,0.025484828278422356,0.025981480255723,1.554066693643108e-05,0.003110762918367982,0.36142387986183167
2,0.017940936610102654,0.027905259281396866,0.02965744584798813,2.779068199743051e-05,0.004431237932294607,0.33301886916160583
3,0.03245043754577637,0.031086361035704613,0.03149079531431198,2.7314679755363613e-05,0.0041741724126040936,0.33224746584892273
4,0.007354832254350185,0.04000402241945267,0.03943591192364693,3.291191751486622e-05,0.0043043214827775955,0.36369964480400085
5,0.020478032529354095,0.04740457236766815,0.04549484699964523,7.414416177198291e-05,0.006530783139169216,0.35476189851760864
6,0.03913941979408264,0.027875296771526337,0.028108296915888786,3.9796464989194646e-05,0.004836506675928831,0.3379041850566864
7,0.034808967262506485,0.022692739963531494,0.02298671565949917,2.139428397640586e-05,0.00352431065402925,0.34247511625289917
8,0.02514665201306343,0.029695821925997734,0.03040347248315811,2.6846673790714704e-05,0.004402597434818745,0.34969159960746765
9,0.007638554088771343,0.03143532574176788,0.03222706541419029,4.1021787183126435e-05,0.0051398309879004955,0.3331088423728943
10,0.020679187029600143,0.03493708744645119,0.03479907661676407,2.8624424885492772e-05,0.004530826583504677,0.3579547107219696
11,0.0200002770870924,0.02809944562613964,0.02942088060081005,3.59373698302079e-05,0.00472711818292737,0.3312026858329773
12,0.03683489188551903,0.027766594663262367,0.027366667985916138,4.158746378379874e-05,0.005180320702493191,0.3286582827568054
13,0.03665875270962715,0.02986811473965645,0.028244392946362495,2.946649146906566e-05,0.0041132727637887,0.3578556478023529
14,0.016640685498714447,0.05121704190969467,0.05076157674193382,9.49303139350377e-05,0.007985101081430912,0.33141493797302246
15,0.015238306485116482,0.01776278391480446,0.02000865899026394,2.308626972080674e-05,0.0037100370973348618,0.35290664434432983
16,0.02747618407011032,0.03208538889884949,0.03307206556200981,3.5046294215135276e-05,0.004564791917800903,0.3511999547481537
17,0.024049825966358185,0.03350185230374336,0.03348734602332115,5.050032268627547e-05,0.006036844570189714,0.33644142746925354
18,0.016175203025341034,0.029392559081315994,0.03244466334581375,6.353266508085653e-05,0.006405853200703859,0.35941627621650696
19,0.04449079930782318,0.029429065063595772,0.031044211238622665,3.7958041502861306e-05,0.004398780409246683,0.3404768407344818
20,0.028837161138653755,0.03412200137972832,0.03283961862325668,3.775077493628487e-05,0.004583646543323994,0.35350149869918823
21,0.02869708463549614,0.03574278578162193,0.03596233204007149,1.9828396034426987e-05,0.0036467595491558313,0.3529280126094818
22,0.02809210866689682,0.033528633415699005,0.03410445153713226,3.785039734793827e-05,0.005254064686596394,0.35595375299453735
23,0.03855970501899719,0.036055341362953186,0.03464885428547859,6.011905497871339e-05,0.006366460118442774,0.3598251938819885
24,0.047048553824424744,0.02228594198822975,0.023992054164409637,3.996794839622453e-05,0.005242493469268084,0.3358573317527771
25,0.028802838176488876,0.02465803362429142,0.02693001925945282,2.8059368560207076e-05,0.004422456491738558,0.33286362886428833
26,0.00602948572486639,0.027826806530356407,0.028098464012145996,3.929821104975417e-05,0.004987251944839954,0.35045045614242554
27,0.022531580179929733,0.044414784759283066,0.042613811790943146,5.483152926899493e-05,0.005795528646558523,0.32435116171836853
28,0.024449404329061508,0.03743454068899155,0.03917467221617699,3.538047894835472e-05,0.004663877654820681,0.35853034257888794
29,0.04079996049404144,0.01988852024078369,0.021035626530647278,5.1007365982513875e-05,0.00603443244472146,0.3325187563896179
30,0.034797217696905136,0.03392267972230911,0.03347913548350334,2.661172766238451e-05,0.004253954626619816,0.33343786001205444
31,0.024408116936683655,0.030764104798436165,0.029231412336230278,1.9366472770343535e-05,0.0034402941819280386,0.32969316840171814
32,0.03406408429145813,0.028319910168647766,0.027631176635622978,3.4923457860713825e-05,0.004312548320740461,0.33299845457077026
33,0.023268770426511765,0.023645363748073578,0.02636110596358776,2.639702142914757e-05,0.0039018772076815367,0.3306996822357178
34,0.018285203725099564,0.030188580974936485,0.03280095010995865,0.00015956387505866587,0.009431860409677029,0.3338020443916321
35,0.028920896351337433,0.024003487080335617,0.024972302839159966,5.319603587849997e-05,0.006092933937907219,0.3615206182003021
36,0.04011125490069389,0.022161491215229034,0.023174457252025604,4.088677087565884e-05,0.004789350554347038,0.32992878556251526
37,0.0384180024266243,0.03047359362244606,0.03053603321313858,2.8274844225961715e-05,0.00439175171777606,0.36000707745552063
38,0.04211863502860069,0.02997259795665741,0.031354695558547974,3.6499142879620194e-05,0.004521554335951805,0.3292126953601837
39,0.039305318146944046,0.028348878026008606,0.029312053695321083,2.9539327442762442e-05,0.0040029119700193405,0.3309718072414398
40,0.020781926810741425,0.024060862138867378,0.02536737732589245,2.215455060650129e-05,0.003824408631771803,0.3355821967124939
41,0.020286019891500473,0.029455408453941345,0.03023170307278633,1.1297029232082423e-05,0.002667655237019062,0.33542683720588684
42,0.034795939922332764,0.027894577011466026,0.027924735099077225,2.4218215912696905e-05,0.0035059177316725254,0.3545674681663513
43,0.02045859768986702,0.024199454113841057,0.02502109482884407,5.1787996198982e-05,0.005265005864202976,0.33218446373939514
44,0.027456361800432205,0.028216546401381493,0.031240006908774376,6.045629197615199e-05,0.006078312173485756,0.35817578434944153
45,0.04190971329808235,0.030545774847269058,0.03158675879240036,2.6655299734557047e-05,0.0040369052439928055,0.35201844573020935
46,0.009197241626679897,0.024980125948786736,0.025914952158927917,4.881025233771652e-05,0.005332248751074076,0.3577024042606354
47,0.044211819767951965,0.02861638367176056,0.028761250898241997,3.0451861675828695e-05,0.004009824246168137,0.3538225591182709
48,0.0342412069439888,0.03533966839313507,0.034803830087184906,3.078243025811389e-05,0.00438903272151947,0.35742440819740295
49,0.04694976285099983,0.031144913285970688,0.030814992263913155,1.7720796677167527e-05,0.0034346075262874365,0.332488477230072
50,0.03322659432888031,0.03498401865363121,0.03419731184840202,4.8783789679873735e-05,0.005971201229840517,0.3310544192790985
51,0.03504050523042679,0.03687451779842377,0.03568241745233536,5.845182386110537e-05,0.005825008265674114,0.35549479722976685
52,0.038041941821575165,0.025013873353600502,0.027004560455679893,3.8997277442831546e-05,0.004911306779831648,0.3316640555858612
53,0.03052889183163643,0.04022330418229103,0.03960875794291496,3.550510882632807e-05,0.004460745025426149,0.3311518132686615
54,0.010391068644821644,0.026048125699162483,0.029678072780370712,0.00023036362836137414,0.011522955261170864,0.35234951972961426
55,0.021439246833324432,0.031040184199810028,0.0322275310754776,5.154130485607311e-05,0.005394615698605776,0.33057039976119995
56,0.03781047835946083,0.020693564787507057,0.02076287940144539,2.3055010387906805e-05,0.004081557970494032,0.3299141824245453
57,0.029376473277807236,0.03139869123697281,0.0311494842171669,1.8976626961375587e-05,0.0036339852958917618,0.3290819525718689
58,0.04443557187914848,0.028653733432292938,0.028105558827519417,4.305559559725225e-05,0.004984721541404724,0.33322873711586
59,0.021389804780483246,0.04795543849468231,0.04534070938825607,0.00011638203432084993,0.00883496180176735,0.33444905281066895
60,0.0266362726688385,0.03598044067621231,0.03534574434161186,2.1248453776934184e-05,0.003596888156607747,0.35744932293891907
61,0.03737065568566322,0.026967739686369896,0.026731083169579506,3.587492392398417e-05,0.004682841245085001,0.35114315152168274
62,0.01638304814696312,0.032100923359394073,0.030847769230604172,3.1112798751564696e-05,0.004199611488729715,0.33325523138046265
63,0.03526095300912857,0.027400242164731026,0.025762418285012245,2.5508985345368274e-05,0.004028507973998785,0.3586001694202423
64,0.008888264186680317,0.03333261236548424,0.031977877020835876,7.017226744210348e-05,0.006711757276207209,0.3541569411754608
65,0.010535811074078083,0.02891121618449688,0.030208295211195946,4.514032116276212e-05,0.005128786433488131,0.3308210074901581
