rank	rule	length	reward_mean	source_motion	root_z_min	root_z_mean	root_z_max	source_percentile	rank_id	env_index	start	end_exclusive	motion_time_step_start	motion_time_step_end
1	current_length_then_reward	298	-0.08196809452227098	lafan1_walk3_subject4	0.04587579891085625	0.051193760420452025	0.05438140034675598	2.287104622871046	1	606	1	299	418177	418474
2	current_length_then_reward	279	-0.04513127414850138	lafan1_walk3_subject4	0.04587579891085625	0.05090608027192854	0.05438140034675598	1.9140308191403084	1	123	20	299	418161	418439
3	current_length_then_reward	264	0.043453268255248215	lafan1_fallandgetup2_subject2	0.11145900189876556	0.1583400552132816	0.31943660974502563	28.065893837705918	1	872	1	265	102600	102863
4	current_length_then_reward	256	-0.0323534783674404	lafan1_fallandgetup1_subject4	0.08427319675683975	0.14215898475958966	0.17761200666427612	21.866825208085615	1	862	43	299	91141	91396
5	current_length_then_reward	249	0.007080169313261847	lafan1_fallandgetup1_subject4	0.11798100173473358	0.12862587034941678	0.2864952087402344	16.860879904875148	0	125	9	258	86830	87078
6	current_length_then_reward	247	-0.09734903369475956	lafan1_walk3_subject4	0.04587579891085625	0.05072153679393081	0.05438140034675598	1.6788321167883213	1	524	52	299	418161	418407
7	current_length_then_reward	228	0.03344072394375281	lafan1_fallandgetup2_subject2	0.11145900189876556	0.15710653247017609	0.31235599517822266	27.71201952410006	1	939	1	229	102635	102862
8	current_length_then_reward	224	-0.0053651920004215625	lafan1_fallandgetup2_subject3	0.11600379645824432	0.1435950102750212	0.30591338872909546	30.372178157413053	1	906	75	299	115575	115798
9	current_length_then_reward	223	-0.01592177331694005	lafan1_fallandgetup2_subject3	0.12466000020503998	0.15374181225829062	0.3313179910182953	33.02013422818792	1	840	67	290	114838	115060
10	current_length_then_reward	222	-0.03567345952929778	lafan1_fallandgetup2_subject3	0.12466000020503998	0.15268169427374462	0.3168776035308838	32.86150091519219	1	402	3	225	114837	115058
1	best_good_root_len_ge_2	4	0.06257318332791328	lafan1_walk2_subject1	0.7519440054893494	0.7533043473958969	0.7547321915626526	42.03543538500294	1	530	184	188	337880	337883
1	best_good_root_len_ge_10	18	0.056283665613995656	lafan1_walk2_subject4	0.7843744158744812	0.7844965590371026	0.7846590280532837	82.2151314132169	0	302	281	299	371144	371161
1	best_good_root_len_ge_20	30	0.05464879038433234	lafan1_sprint1_subject4	0.7880405783653259	0.7893778244654338	0.790461003780365	96.49212742585134	1	601	70	100	286550	286579
1	best_good_root_len_ge_30	30	0.05464879038433234	lafan1_sprint1_subject4	0.7880405783653259	0.7893778244654338	0.790461003780365	96.49212742585134	1	601	70	100	286550	286579
